year,under30,30_39,40_49,50_59,60+,total
1958,1.10,0.90,0.40,0.20,0.00,2.60
1959,1.30,1.00,0.40,0.30,0.10,3.10
1960,1.40,1.10,0.50,0.30,0.10,3.40
1961,1.60,1.20,0.50,0.30,0.10,3.70
1962,1.70,1.40,0.60,0.40,0.10,4.20
1963,1.90,1.50,0.70,0.40,0.10,4.60
1964,2.20,1.70,0.70,0.50,0.10,5.20
1965,2.40,1.90,0.80,0.50,0.10,5.70
1966,2.70,2.10,0.90,0.60,0.10,6.40
1967,3.00,2.30,1.00,0.60,0.10,7.00
1968,3.30,2.60,1.10,0.70,0.10,7.80
1969,3.70,2.90,1.20,0.80,0.20,8.80
1970,4.10,3.20,1.40,0.90,0.20,9.80
1971,4.50,3.50,1.50,1.00,0.20,10.70
1972,5.00,3.90,1.70,1.10,0.20,11.90
1973,5.60,4.30,1.90,1.20,0.20,13.20
1974,6.20,4.80,2.10,1.30,0.30,14.70
1975,6.90,5.40,2.30,1.50,0.30,16.40
1976,7.60,6.00,2.60,1.60,0.30,18.10
1977,8.50,6.60,2.90,1.80,0.40,20.20
1978,9.40,7.40,3.20,2.00,0.40,22.40
1979,10.50,8.20,3.50,2.20,0.40,24.80
1980,11.60,9.10,3.90,2.50,0.50,27.60
1981,12.90,10.10,4.40,2.70,0.50,30.60
1982,14.40,11.20,4.80,3.00,0.60,34.00
1983,16.00,12.50,5.40,3.40,0.70,38.00
1984,17.80,13.90,6.00,3.80,0.70,42.20
1985,19.70,15.40,6.60,4.20,0.80,46.70
1986,21.90,17.10,7.40,4.60,0.90,51.90
1987,24.30,19.00,8.20,5.20,1.00,57.70
1988,27.10,21.10,9.10,5.70,1.10,64.10
1989,30.10,23.50,10.10,6.40,1.30,71.40
1990,33.40,26.10,11.30,7.10,1.40,79.30
1991,37.10,29.00,12.50,7.90,1.60,88.10
1992,41.20,32.20,13.90,8.70,1.70,97.70
1993,45.80,35.80,15.40,9.70,1.90,108.60
1994,50.90,39.70,17.20,10.80,2.10,120.70
1995,56.60,44.20,19.10,12.00,2.40,134.30
1996,62.80,49.10,21.20,13.30,2.60,149.00
1997,69.80,54.50,23.50,14.80,2.90,165.50
1998,77.60,60.60,26.10,16.40,3.20,183.90
1999,86.20,67.30,29.10,18.20,3.60,204.40
2000,95.80,74.80,32.30,20.30,4.00,227.20
2001,106.40,83.10,35.90,22.50,4.40,252.30
2002,118.30,92.30,39.90,25.00,4.90,280.40
2003,131.40,102.60,44.30,27.80,5.50,311.60
2004,146.00,114.00,49.20,30.90,6.10,346.20
2005,161.00,129.00,55.60,38.30,8.20,392.10
2006,194.00,154.00,69.40,47.90,13.20,478.50
2007,217.00,171.00,81.70,55.40,15.80,540.90
2008,248.00,202.00,95.70,67.10,20.00,632.80
2009,273.00,229.00,109.00,77.70,25.00,713.70
2010,299.00,257.00,127.00,90.50,29.10,802.60
2011,312.00,281.00,140.00,97.20,35.20,865.40
2012,320.00,320.00,163.00,113.00,42.60,958.60
2013,356.00,354.00,184.00,126.00,49.40,1069.40
2014,369.00,383.00,208.00,136.00,58.00,1154.00
2015,376.20,407.80,229.90,149.90,66.80,1230.50
2016,382.70,435.60,254.80,162.90,76.10,1312.10
2017,383.20,457.20,275.80,175.40,84.60,1376.20
2018,381.60,484.90,300.50,192.40,95.80,1455.20
2019,376.70,497.90,319.50,206.20,106.30,1506.60
2020,360.20,510.50,333.30,219.10,116.40,1539.60
